"OriginalDataSetName" "TidyDataSetName"
"tBodyAcc-mean()-X" "TimeBodyAccelerometerMeanX"
"tBodyAcc-mean()-Y" "TimeBodyAccelerometerMeanY"
"tBodyAcc-mean()-Z" "TimeBodyAccelerometerMeanZ"
"tBodyAcc-std()-X" "TimeBodyAccelerometerStdX"
"tBodyAcc-std()-Y" "TimeBodyAccelerometerStdY"
"tBodyAcc-std()-Z" "TimeBodyAccelerometerStdZ"
"tBodyAcc-mad()-X" "omitted"
"tBodyAcc-mad()-Y" "omitted"
"tBodyAcc-mad()-Z" "omitted"
"tBodyAcc-max()-X" "omitted"
"tBodyAcc-max()-Y" "omitted"
"tBodyAcc-max()-Z" "omitted"
"tBodyAcc-min()-X" "omitted"
"tBodyAcc-min()-Y" "omitted"
"tBodyAcc-min()-Z" "omitted"
"tBodyAcc-sma()" "omitted"
"tBodyAcc-energy()-X" "omitted"
"tBodyAcc-energy()-Y" "omitted"
"tBodyAcc-energy()-Z" "omitted"
"tBodyAcc-iqr()-X" "omitted"
"tBodyAcc-iqr()-Y" "omitted"
"tBodyAcc-iqr()-Z" "omitted"
"tBodyAcc-entropy()-X" "omitted"
"tBodyAcc-entropy()-Y" "omitted"
"tBodyAcc-entropy()-Z" "omitted"
"tBodyAcc-arCoeff()-X,1" "omitted"
"tBodyAcc-arCoeff()-X,2" "omitted"
"tBodyAcc-arCoeff()-X,3" "omitted"
"tBodyAcc-arCoeff()-X,4" "omitted"
"tBodyAcc-arCoeff()-Y,1" "omitted"
"tBodyAcc-arCoeff()-Y,2" "omitted"
"tBodyAcc-arCoeff()-Y,3" "omitted"
"tBodyAcc-arCoeff()-Y,4" "omitted"
"tBodyAcc-arCoeff()-Z,1" "omitted"
"tBodyAcc-arCoeff()-Z,2" "omitted"
"tBodyAcc-arCoeff()-Z,3" "omitted"
"tBodyAcc-arCoeff()-Z,4" "omitted"
"tBodyAcc-correlation()-X,Y" "omitted"
"tBodyAcc-correlation()-X,Z" "omitted"
"tBodyAcc-correlation()-Y,Z" "omitted"
"tGravityAcc-mean()-X" "TimeGravityAccelerometerMeanX"
"tGravityAcc-mean()-Y" "TimeGravityAccelerometerMeanY"
"tGravityAcc-mean()-Z" "TimeGravityAccelerometerMeanZ"
"tGravityAcc-std()-X" "TimeGravityAccelerometerStdX"
"tGravityAcc-std()-Y" "TimeGravityAccelerometerStdY"
"tGravityAcc-std()-Z" "TimeGravityAccelerometerStdZ"
"tGravityAcc-mad()-X" "omitted"
"tGravityAcc-mad()-Y" "omitted"
"tGravityAcc-mad()-Z" "omitted"
"tGravityAcc-max()-X" "omitted"
"tGravityAcc-max()-Y" "omitted"
"tGravityAcc-max()-Z" "omitted"
"tGravityAcc-min()-X" "omitted"
"tGravityAcc-min()-Y" "omitted"
"tGravityAcc-min()-Z" "omitted"
"tGravityAcc-sma()" "omitted"
"tGravityAcc-energy()-X" "omitted"
